# Created by Octave 3.2.4, Sun Oct 28 00:59:49 2012 IST <mohit@mohit-N4050>
# name: z2
# type: matrix
# rows: 51
# columns: 2
 0 3.059023205018258e-07
 1 4.588534807527389e-06
 2 3.441401105645543e-05
 3 0.000172070055282277
 4 0.000645262707308539
 5 0.001935788121925618
 6 0.004839470304814035
 7 0.01037029351031581
 8 0.01944430033184211
 9 0.03240716721973685
 10 0.04861075082960525
 11 0.06628738749491639
 12 0.0828592343686451
 13 0.09560680888689863
 14 0.1024358666645343
 15 0.1024358666645343
 16 0.09603362499800054
 17 0.08473555146882411
 18 0.07061295955735365
 19 0.05574707333475282
 20 0.04181030500106466
 21 0.02986450357218886
 22 0.02036216152649248
 23 0.01327967056075597
 24 0.008299794100472518
 25 0.00497987646028345
 26 0.002873005650163546
 27 0.001596114250090871
 28 0.0008550612054058132
 29 0.0004422730372788689
 30 0.000221136518639434
 31 0.0001070015412771468
 32 5.015697247366281e-05
 33 2.279862385166445e-05
 34 1.005821640514632e-05
 35 4.31066417363409e-06
 36 1.79611007234754e-06
 37 7.28152732032786e-07
 38 2.874287100129471e-07
 39 1.105495038511315e-07
 40 4.145606394417398e-08
 41 1.516685266250278e-08
 42 5.416733093751024e-09
 43 1.889558055959675e-09
 44 6.441675190771632e-10
 45 2.147225063590518e-10
 46 7.001820859534438e-11
 47 2.234623678574749e-11
 48 6.983198995546156e-12
 49 2.137713978228469e-12
 50 6.41314193468527e-13
